STAT_VAR,STAT_PRES,SEX,AGE,CCYY,H,OBS_VALUE,SD_VALUE
POP,Prop_1dp_%_n,M,4,2002,2,0.4,
POP,Prop_1dp_%_n,M,4,2003,2,0.4,
POP,Prop_1dp_%_n,M,4,2004,2,0.4,
POP,Prop_1dp_%_n,M,4,2005,2,0.4,
POP,Prop_1dp_%_n,M,4,2006,2,0.4,
POP,Prop_1dp_%_n,M,4,2007,2,0.4,
POP,Prop_1dp_%_n,M,4,2008,2,0.3,
POP,Prop_1dp_%_n,M,4,2009,2,0.3,
POP,Prop_1dp_%_n,M,4,2010,2,0.4,
POP,Prop_1dp_%_n,M,4,2011,2,0.4,
POP,Prop_1dp_%_n,M,4,2012,2,0.4,
POP,Prop_1dp_%_n,M,4,2013,2,0.4,
POP,Prop_1dp_%_n,M,4,2014,2,0.4,
POP,Prop_1dp_%_n,M,4,2015,2,0.4,
POP,Prop_1dp_%_n,M,4,2016,2,0.5,
POP,Prop_1dp_%_n,M,4,2017,2,0.3,
POP,Prop_1dp_%_n,M,4,2018,2,0.4,
POP,Prop_1dp_%_n,M,4,2019,2,0.4,
POP,Prop_1dp_%_n,M,4,2020,2,0.4,
POP,Prop_1dp_%_n,M,4,2021,2,0.3,
POP,Prop_1dp_%_n,M,4,2022,2,0.3,
POP,Prop_1dp_%_n,M,5,2000,2,0.6,
POP,Prop_1dp_%_n,M,5,2001,2,0.5,
POP,Prop_1dp_%_n,M,5,2002,2,0.5,
POP,Prop_1dp_%_n,M,5,2003,2,0.5,
POP,Prop_1dp_%_n,M,5,2004,2,0.4,
POP,Prop_1dp_%_n,M,5,2005,2,0.5,
POP,Prop_1dp_%_n,M,5,2006,2,0.4,
POP,Prop_1dp_%_n,M,5,2007,2,0.4,
POP,Prop_1dp_%_n,M,5,2008,2,0.4,
POP,Prop_1dp_%_n,M,5,2009,2,0.4,
POP,Prop_1dp_%_n,M,5,2010,2,0.3,
POP,Prop_1dp_%_n,M,5,2011,2,0.4,
POP,Prop_1dp_%_n,M,5,2012,2,0.4,
POP,Prop_1dp_%_n,M,5,2013,2,0.4,
POP,Prop_1dp_%_n,M,5,2014,2,0.4,
POP,Prop_1dp_%_n,M,5,2015,2,0.4,
POP,Prop_1dp_%_n,M,5,2016,2,0.5,
POP,Prop_1dp_%_n,M,5,2017,2,0.5,
POP,Prop_1dp_%_n,M,5,2018,2,0.3,
POP,Prop_1dp_%_n,M,5,2019,2,0.4,
POP,Prop_1dp_%_n,M,5,2020,2,0.4,
POP,Prop_1dp_%_n,M,5,2021,2,0.4,
POP,Prop_1dp_%_n,M,5,2022,2,0.3,
POP,Prop_1dp_%_n,M,6,2000,2,0.6,
POP,Prop_1dp_%_n,M,6,2001,2,0.6,
POP,Prop_1dp_%_n,M,6,2002,2,0.6,
POP,Prop_1dp_%_n,M,6,2003,2,0.5,
POP,Prop_1dp_%_n,M,6,2004,2,0.5,
POP,Prop_1dp_%_n,M,6,2005,2,0.4,
POP,Prop_1dp_%_n,M,6,2006,2,0.4,
POP,Prop_1dp_%_n,M,6,2007,2,0.4,
POP,Prop_1dp_%_n,M,6,2008,2,0.4,
POP,Prop_1dp_%_n,M,6,2009,2,0.4,
POP,Prop_1dp_%_n,M,6,2010,2,0.4,
POP,Prop_1dp_%_n,M,6,2011,2,0.3,
POP,Prop_1dp_%_n,M,6,2012,2,0.4,
POP,Prop_1dp_%_n,M,6,2013,2,0.4,
POP,Prop_1dp_%_n,M,6,2014,2,0.4,
POP,Prop_1dp_%_n,M,6,2015,2,0.4,
POP,Prop_1dp_%_n,M,6,2016,2,0.4,
POP,Prop_1dp_%_n,M,6,2017,2,0.5,
POP,Prop_1dp_%_n,M,6,2018,2,0.5,
POP,Prop_1dp_%_n,M,6,2019,2,0.3,
POP,Prop_1dp_%_n,M,6,2020,2,0.4,
POP,Prop_1dp_%_n,M,6,2021,2,0.4,
POP,Prop_1dp_%_n,M,6,2022,2,0.4,
POP,Prop_1dp_%_n,M,7,2000,2,0.6,
POP,Prop_1dp_%_n,M,7,2001,2,0.6,
POP,Prop_1dp_%_n,M,7,2002,2,0.6,
POP,Prop_1dp_%_n,M,7,2003,2,0.6,
POP,Prop_1dp_%_n,M,7,2004,2,0.5,
POP,Prop_1dp_%_n,M,7,2005,2,0.5,
POP,Prop_1dp_%_n,M,7,2006,2,0.4,
POP,Prop_1dp_%_n,M,7,2007,2,0.4,
POP,Prop_1dp_%_n,M,7,2008,2,0.4,
POP,Prop_1dp_%_n,M,7,2009,2,0.4,
POP,Prop_1dp_%_n,M,7,2010,2,0.4,
POP,Prop_1dp_%_n,M,7,2011,2,0.4,
POP,Prop_1dp_%_n,M,7,2012,2,0.3,
POP,Prop_1dp_%_n,M,7,2013,2,0.4,
POP,Prop_1dp_%_n,M,7,2014,2,0.4,
POP,Prop_1dp_%_n,M,7,2015,2,0.4,
POP,Prop_1dp_%_n,M,7,2016,2,0.4,
POP,Prop_1dp_%_n,M,7,2017,2,0.4,
POP,Prop_1dp_%_n,M,7,2018,2,0.5,
POP,Prop_1dp_%_n,M,7,2019,2,0.5,
POP,Prop_1dp_%_n,M,7,2020,2,0.3,
POP,Prop_1dp_%_n,M,7,2021,2,0.4,
POP,Prop_1dp_%_n,M,7,2022,2,0.4,
POP,Prop_1dp_%_n,M,8,2000,2,0.6,
POP,Prop_1dp_%_n,M,8,2001,2,0.6,
POP,Prop_1dp_%_n,M,8,2002,2,0.6,
POP,Prop_1dp_%_n,M,8,2003,2,0.6,
