STAT_VAR,STAT_PRES,AGE,CCYY,OBS_VALUE,SD_VALUE
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2019,1072,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2020,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2021,1072,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2022,1078,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,10-14,2023,1083,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2000,1067,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2001,1064,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2002,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2003,1047,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2004,1036,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2005,1030,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2006,1040,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2007,1052,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2008,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2009,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2010,1061,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2011,1053,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2012,1054,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2013,1061,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2014,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2015,1065,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2016,1075,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2017,1070,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2018,1057,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2019,1040,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2020,1034,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2021,1037,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2022,1044,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,15-19,2023,1059,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2000,1063,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2001,1084,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2002,1153,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2003,1125,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2004,1100,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2005,1060,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2006,1038,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2007,1018,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2008,1007,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2009,1005,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2010,1004,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2011,1033,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2012,1021,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2013,1023,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2014,1029,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2015,1043,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2016,1020,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2017,1022,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2018,1034,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2019,1030,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2020,1045,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2021,1059,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2022,1050,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,20-24,2023,1022,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2000,983,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2001,1027,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2002,1067,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2003,1056,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2004,1058,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2005,1043,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2006,1009,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2007,1004,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2008,994,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2009,993,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2010,984,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2011,994,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2012,950,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2013,935,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2014,941,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2015,971,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2016,966,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2017,986,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2018,993,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2019,990,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2020,1005,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2021,1003,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2022,1009,
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,25-29,2023,1006,102
SEX_RATIO_POPN_XFDH,Ratio_pkpo_n,30-34,2000,956,
