STAT_VAR,STAT_PRES,CCYY,M3M,SEX,OBS_VALUE,SD_VALUE
LF,Raw_K_1dp_per_n,2011,,M,1942.7,
LF,Raw_K_1dp_per_n,2011,,F,1760.4,
LF,Raw_K_1dp_per_n,2011,,,3703.1,
UR,Rate_1dp_%_n,2011,,M,4.0,
UR,Rate_1dp_%_n,2011,,F,2.8,
UR,Rate_1dp_%_n,2011,,,3.4,
EM,Raw_K_1dp_per_n,2011,,M,1865.2,
EM,Raw_K_1dp_per_n,2011,,F,1711.2,
EM,Raw_K_1dp_per_n,2011,,,3576.4,
LF,Raw_K_1dp_per_n,2012,,M,1970.9,
LF,Raw_K_1dp_per_n,2012,,F,1811.3,
LF,Raw_K_1dp_per_n,2012,,,3782.2,
UR,Rate_1dp_%_n,2012,,M,3.8,
UR,Rate_1dp_%_n,2012,,F,2.8,
UR,Rate_1dp_%_n,2012,,,3.3,
EM,Raw_K_1dp_per_n,2012,,M,1896.6,
EM,Raw_K_1dp_per_n,2012,,F,1761.4,
EM,Raw_K_1dp_per_n,2012,,,3658.0,
LF,Raw_K_1dp_per_n,2013,,M,1993.4,
LF,Raw_K_1dp_per_n,2013,,F,1861.8,
LF,Raw_K_1dp_per_n,2013,,,3855.1,
UR,Rate_1dp_%_n,2013,,M,3.8,
UR,Rate_1dp_%_n,2013,,F,3.0,
UR,Rate_1dp_%_n,2013,,,3.4,
EM,Raw_K_1dp_per_n,2013,,M,1917.6,
EM,Raw_K_1dp_per_n,2013,,F,1806.5,
EM,Raw_K_1dp_per_n,2013,,,3724.0,
LF,Raw_K_1dp_per_n,2014,,M,1989.7,
LF,Raw_K_1dp_per_n,2014,,F,1881.4,
LF,Raw_K_1dp_per_n,2014,,,3871.1,
UR,Rate_1dp_%_n,2014,,M,3.6,
UR,Rate_1dp_%_n,2014,,F,3.0,
UR,Rate_1dp_%_n,2014,,,3.3,
EM,Raw_K_1dp_per_n,2014,,M,1918.7,
EM,Raw_K_1dp_per_n,2014,,F,1824.8,
EM,Raw_K_1dp_per_n,2014,,,3743.5,
LF,Raw_K_1dp_per_n,2015,,M,1997.2,
LF,Raw_K_1dp_per_n,2015,,F,1906.0,
LF,Raw_K_1dp_per_n,2015,,,3903.2,
UR,Rate_1dp_%_n,2015,,M,3.4,
UR,Rate_1dp_%_n,2015,,F,3.2,
UR,Rate_1dp_%_n,2015,,,3.3,
EM,Raw_K_1dp_per_n,2015,,M,1928.5,
EM,Raw_K_1dp_per_n,2015,,F,1845.3,
EM,Raw_K_1dp_per_n,2015,,,3773.8,
LF,Raw_K_1dp_per_n,2016,,M,1995.8,
LF,Raw_K_1dp_per_n,2016,,F,1924.3,
LF,Raw_K_1dp_per_n,2016,,,3920.1,
UR,Rate_1dp_%_n,2016,,M,3.7,
UR,Rate_1dp_%_n,2016,,F,3.1,
UR,Rate_1dp_%_n,2016,,,3.4,
EM,Raw_K_1dp_per_n,2016,,M,1922.1,
EM,Raw_K_1dp_per_n,2016,,F,1865.0,
EM,Raw_K_1dp_per_n,2016,,,3787.1,
LF,Raw_K_1dp_per_n,2017,,M,1998.0,
LF,Raw_K_1dp_per_n,2017,,F,1958.0,
LF,Raw_K_1dp_per_n,2017,,,3956.0,
UR,Rate_1dp_%_n,2017,,M,3.4,
UR,Rate_1dp_%_n,2017,,F,2.9,
UR,Rate_1dp_%_n,2017,,,3.1,
EM,Raw_K_1dp_per_n,2017,,M,1930.5,
EM,Raw_K_1dp_per_n,2017,,F,1902.0,
EM,Raw_K_1dp_per_n,2017,,,3832.4,
LF,Raw_K_1dp_per_n,2018,,M,2014.9,
LF,Raw_K_1dp_per_n,2018,,F,1981.8,
LF,Raw_K_1dp_per_n,2018,,,3996.8,
UR,Rate_1dp_%_n,2018,,M,3.2,
UR,Rate_1dp_%_n,2018,,F,2.4,
UR,Rate_1dp_%_n,2018,,,2.8,
EM,Raw_K_1dp_per_n,2018,,M,1950.8,
EM,Raw_K_1dp_per_n,2018,,F,1933.8,
EM,Raw_K_1dp_per_n,2018,,,3884.6,
LF,Raw_K_1dp_per_n,2019,,M,1990.1,
LF,Raw_K_1dp_per_n,2019,,F,1997.6,
LF,Raw_K_1dp_per_n,2019,,,3987.8,
UR,Rate_1dp_%_n,2019,,M,3.5,
